{seqID=0,msg="Payload message #0",myUString="UString header prop 0",myUint8=0,myUint16=0,myUint32=0,myUint64=0}
{seqID=1,msg="Payload message #1",myUString="UString header prop 1",myUint8=1,myUint16=1,myUint32=1,myUint64=1}
{seqID=2,msg="Payload message #2",myUString="UString header prop 2",myUint8=2,myUint16=2,myUint32=2,myUint64=2}
{seqID=3,msg="Payload message #3",myUString="UString header prop 3",myUint8=3,myUint16=3,myUint32=3,myUint64=3}
{seqID=4,msg="Payload message #4",myUString="UString header prop 4",myUint8=4,myUint16=4,myUint32=4,myUint64=4}
{seqID=5,msg="Payload message #5",myUString="UString header prop 5",myUint8=5,myUint16=5,myUint32=5,myUint64=5}
{seqID=6,msg="Payload message #6",myUString="UString header prop 6",myUint8=6,myUint16=6,myUint32=6,myUint64=6}
{seqID=7,msg="Payload message #7",myUString="UString header prop 7",myUint8=7,myUint16=7,myUint32=7,myUint64=7}
{seqID=8,msg="Payload message #8",myUString="UString header prop 8",myUint8=8,myUint16=8,myUint32=8,myUint64=8}
{seqID=9,msg="Payload message #9",myUString="UString header prop 9",myUint8=9,myUint16=9,myUint32=9,myUint64=9}
{seqID=10,msg="Payload message #10",myUString="UString header prop 10",myUint8=1,myUint16=1,myUint32=1,myUint64=1}
{seqID=11,msg="Payload message #11",myUString="UString header prop 11",myUint8=1,myUint16=1,myUint32=1,myUint64=1}
{seqID=12,msg="Payload message #12",myUString="UString header prop 12",myUint8=1,myUint16=1,myUint32=1,myUint64=1}
{seqID=13,msg="Payload message #13",myUString="UString header prop 13",myUint8=1,myUint16=1,myUint32=1,myUint64=1}
{seqID=14,msg="Payload message #14",myUString="UString header prop 14",myUint8=1,myUint16=1,myUint32=1,myUint64=1}
{seqID=15,msg="Payload message #15",myUString="UString header prop 15",myUint8=1,myUint16=1,myUint32=1,myUint64=1}
{seqID=16,msg="Payload message #16",myUString="UString header prop 16",myUint8=1,myUint16=1,myUint32=1,myUint64=1}
{seqID=17,msg="Payload message #17",myUString="UString header prop 17",myUint8=1,myUint16=1,myUint32=1,myUint64=1}
{seqID=18,msg="Payload message #18",myUString="UString header prop 18",myUint8=1,myUint16=1,myUint32=1,myUint64=1}
{seqID=19,msg="Payload message #19",myUString="UString header prop 19",myUint8=1,myUint16=1,myUint32=1,myUint64=1}
